id,nick,followers
1,Janet,511
2,Larry,767
3,Katherine,81547
4,Debra,6840
5,Kathleen,54
6,Eric,121
7,Robert,21
8,Jane,261
9,Stephen,396
10,Justin,20739
11,Christopher,83
12,Phillip,24876
13,Emily,2704
14,Terry,8423
15,Keith,515
16,Emily,53
17,Sandra,74600
18,Jesse,742
19,Russell,77
20,Paula,49650
21,Scott,500
22,Janet,6
23,Charles,62881
24,Billy,882
25,Lawrence,5575
26,Alan,4
27,Margaret,0
28,Betty,9917
29,Martha,4
30,Billy,3
31,Harold,2
32,Betty,243
33,Martin,107
34,Laura,87068
35,Eugene,081
36,Carol,88032
37,Jane,8
38,Joan,933
39,Phillip,234
40,Nancy,48
41,Heather,135
42,Virginia,284
43,Ashley,1
44,Lois,0649
45,George,3705
46,Peter,0
47,Bobby,2165
48,Elizabeth,114
49,Kevin,199
50,Sharon,6343
51,Roy,6
52,Arthur,2
53,Lori,42
54,Lisa,70
55,Barbara,5401
56,Justin,446
57,Ann,032
58,Wanda,69432
59,Johnny,01
60,Irene,4
61,Sara,2
62,Heather,97352
63,Marilyn,1
64,Ryan,19172
65,Cheryl,3
66,Christopher,2
67,Peter,48
68,Jane,59
69,Barbara,102
70,Heather,27271
71,Kathy,05
72,Lois,35819
73,Louis,7
74,Phyllis,27
75,Frances,07108
76,Sarah,7103
77,Earl,6
78,Clarence,98248
79,Clarence,700
80,Victor,76065
81,Lori,036
82,Clarence,83994
83,Philip,195
84,Christina,8
85,Theresa,632
86,Peter,1
87,Jack,7103
88,Rose,531
89,George,3134
90,Helen,15961
91,Jeremy,3
92,Stephen,3
93,Jessica,4
94,Cynthia,47431
95,Sara,0
96,Julie,29
97,Anthony,70
98,Tina,1298
99,Chris,2522
100,Raymond,52
